"","dep_eta","ivg_recours","ivg_horsdep","ivg_ville","ivg_chir","ivg_ag","ivg_privé","img_recours","ivg_eta_privé","ivg_1314","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020"
"65","64",1201.86887792169,9.8314606741573,51.5372589890568,27.6150627615063,99.8106060606061,8.70967741935484,42.5883708695543,28.5714285714286,9.29978118161926,"15.6","0.5","0.5","2.3","24.5","107.8",162
"66","65",1116.16621170761,13.4715025906736,30.2536231884058,21.09375,99.0740740740741,41.038961038961,38.4187645334142,20,6.38297872340426,"7.8","0.6","3.5","4.9","17.5","100.8",178
"67","66",1791.15501800388,3.69978858350951,18.9690721649485,19.6382428940568,100,29.9618320610687,55.3965469485735,66.6666666666667,6.35838150289017,"20.3","3.1","4.6","4.6","21.7","117.8",182
"68","67",968.044099412367,3.97031539888683,6.16080751827358,13.9306965348267,99.748743718593,0.741839762611276,54.9220982263195,14.2857142857143,2.12234706616729,"19","0","0.2","0.2","30.1","111.9",163
"69","68",939.837398373984,6.21152770005596,5.13264129181084,14.7932440302854,98.4251968503937,0.364741641337386,37.940379403794,20,4.55665024630542,"17","0","0","0","22.5","82.2",174
"70","69",1331.09328080796,7.54036682865653,38.154649644567,31.627354991841,44.2307692307692,2.53342716396904,72.8017070745107,28.5714285714286,6.24553039332539,"24.1","0","0.1","0.1","33.7","99.1",183
"71","70",815.749191032572,41.4191419141914,64.1330166270784,13.3651551312649,100,0,11.625879207115,0,10.8108108108108,"5","0.7","4.6","4.9","19","82.6",177
"72","71",944.591932859467,19.0353143841516,7.79691749773345,29.7445255474453,79.7546012269939,0,56.5213667894151,0,6.312625250501,"10.4","0.1","0.1","0.2","19.5","72.1",183
"73","72",952.285716483466,11.3348247576435,0.565428109854604,37.0805369127517,60.1809954751131,9.99187652315191,46.9219941078283,33.3333333333333,4.55655004068348,"12.5","0.2","1","0.9","22.1","62.2",190
"74","73",1272.02773951456,12.5863392171911,45.8551157580284,22.4228743416102,72.1476510067114,0.137931034482759,60.7989360186197,16.6666666666667,8.48656294200849,"11.4","0.5","1.5","1.3","33.5","113.2",175
"75","74",1343.0866455242,5.68485310950019,27.78352292313,22.8106611284181,91.5022761760243,2.86396181384248,51.853052153985,28.5714285714286,4.76878612716763,"12.4","0.1","0","0.1","34.3","95.6",178
"76","75",2462.37965798977,14.9514338575393,56.779283578291,22.8031860226105,72.9577464788732,1.47210363609598,138.339456512373,35,7.82923517875999,"49","0","0","0","27.5","115.6",149
"77","76",1226.42740619902,5.27210884353742,32.6150571960628,20.6279261911319,98.7983978638184,1.46071851559416,63.9477977161501,30,7.32793522267206,"12.4","0.3","0.3","0.3","20.7","92",181
"78","77",1441.89369927264,30.585883438413,60.5373025957524,10.8600583090379,99.6644295302013,5.05979760809568,12.8249757241531,30,5.27777777777778,"11.2","0","0","0","21.8","70",196
"79","78",945.459770726671,32.1584938704028,37.6583169152829,16.4093767867353,96.1672473867596,2.88939051918736,47.3661241737538,33.3333333333333,5.77981651376147,"21.3","0","0","0","26.7","71.2",204
"80","79",879.289841319415,16.3239074550129,9.2896174863388,29.0858725761773,98.0952380952381,7.2289156626506,25.2255282345734,33.3333333333333,5.02283105022831,"6.3","2.7","2.5","2.4","33.3","74.4",177
"81","80",1071.9471571335,8.83720930232558,7.17131474103586,26.7333333333333,80.5486284289277,0,50.5366853628676,0,6.41672674837779,"10.6","0","0","0","24.5","98.3",165
"82","81",1376.69936327654,8.11272416737831,14.3333333333333,21.8165627782725,96.734693877551,3.01556420233463,30.9757356737223,25,5.48902195608782,"8.8","1.9","1.6","1.6","40.6","89.6",173
"83","82",1286.81019549616,21.1217183770883,37.5641025641026,14.8908857509628,100,59.3429158110883,16.4975666089252,66.6666666666667,3.93374741200828,"12.8","0.4","0.7","0.7","27.4","89.1",190
"84","83",1783.59832705083,14.6630044369322,48.6574074074074,14.3092105263158,99.5073891625616,23.3543733092876,30.5523787504077,36.3636363636364,5.3905893101873,"14.3","0.2","0.2","0.2","24","107.8",190
"85","84",2178.89382761307,10.4566210045662,21.7665615141956,12.8974633797785,63.1578947368421,7.48207885304659,65.6799401243337,10,3.58114233907525,"19.8","0.1","0.1","0.3","26","92.5",207
"86","85",785.711472569021,16.4056674123788,13.7844611528822,27.4957698815567,87.3846153846154,0.193798449612403,38.727633150854,14.2857142857143,5.19607843137255,"10","1.3","1.5","1.2","29","69.9",183
"87","86",1009.67801972827,7.88224121557455,30.2304147465438,15.2444870565676,100,12.4174372523118,67.0016750418761,25,4.7361299052774,"10","4","3.6","3.3","21.5","96",166
"88","87",1324.73377723128,5.73543015726179,0.437828371278459,30.9671694764862,100,5.18909410729991,56.8405911421479,25,5.85106382978723,"13.8","3.1","2.7","2.4","18.5","117.9",168
"89","88",1054.95520932262,12.8266033254157,15.4501216545012,10.75,98.8372093023256,3.16546762589928,5.13360199183757,20,2.91120815138282,"9.4","1.1","1.1","1","23.2","86.9",177
"90","89",1155.86932447398,16.538882803943,23.7125748502994,40.5778894472362,100,0.156985871271586,35.9911406423034,25,6.2200956937799,"6.2","0.5","1.7","2.2","18.7","67.6",195
